word,difficulty,genre_ids,genres,hints
Aktenzeichen,4,0|9,Alltag & Gegenstände|Gesellschaft & Beruf,"Sicherheitsstufe~A_TARGET_VIBE~2,Schriftverkehr~A_TARGET_VIBE~3,Locher~A_TARGET_VIBE~3,Kopie~A_TARGET_VIBE~3,Vorgang~A_TARGET_VIBE~4,Archiv~A_TARGET_VIBE~4"
Amt,2,9,Gesellschaft & Beruf,"Gebühr~A_TARGET_VIBE~2,Wartezeit~A_TARGET_VIBE~2,Nummernschild~A_TARGET_VIBE~2,Formular~A_TARGET_VIBE~2,Antrag~A_TARGET_VIBE~3,Termin~A_TARGET_VIBE~3"
Anerkennung,3,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Protokoll~A_TARGET_VIBE~2,Ampel~A_TARGET_VIBE~2,Rückmeldung~A_TARGET_VIBE~2,Mehrheit~A_TARGET_VIBE~3,Gremium~A_TARGET_VIBE~3,Kopie~A_TARGET_VIBE~3"
Angebot,3,9,Gesellschaft & Beruf,"Bedingung~A_TARGET_VIBE~2,Auftrag~A_TARGET_VIBE~2,Prospekt~A_TARGET_VIBE~2,Vergleich~A_TARGET_VIBE~3,Lieferzeit~A_TARGET_VIBE~3,Rückfrage~A_TARGET_VIBE~3"
Anleitung,2,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Bereich~A_TARGET_VIBE~2,Quartal~A_TARGET_VIBE~2,Sitzung~A_TARGET_VIBE~2,Personal~A_TARGET_VIBE~2,Budget~A_TARGET_VIBE~3,Termin~A_TARGET_VIBE~3"
Anmeldung,2,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Formular~A_TARGET_VIBE~2,Eintrag~A_TARGET_VIBE~2,Passfoto~A_TARGET_VIBE~2,Bestätigung~A_TARGET_VIBE~2,Ausweis~A_TARGET_VIBE~3,Büro~A_TARGET_VIBE~3"
Anruf,1,9,Gesellschaft & Beruf,"Mikrofon~A_TARGET_VIBE~1,Weiterleitung~A_TARGET_VIBE~2,Warteschleife~A_TARGET_VIBE~2,Rufnummer~A_TARGET_VIBE~2,Durchwahl~A_TARGET_VIBE~2,Posteingang~A_TARGET_VIBE~2"
Ansehen,3,9,Gesellschaft & Beruf,"Rückendeckung~A_TARGET_VIBE~2,Absprachen~A_TARGET_VIBE~2,Sorgfalt~A_TARGET_VIBE~2,Disziplin~A_TARGET_VIBE~3,Konstanz~A_TARGET_VIBE~3,Scan~A_TARGET_VIBE~3"
Antrag,3,9,Gesellschaft & Beruf,"Gebühr~A_TARGET_VIBE~2,Kopie~A_TARGET_VIBE~2,Unterlagen~A_TARGET_VIBE~2,Eingang~A_TARGET_VIBE~3,Aktenzeichen~A_TARGET_VIBE~3,Telefonat~A_TARGET_VIBE~3"
Anwesenheit,2,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Teamgeist~A_TARGET_VIBE~2,Bewertung~A_TARGET_VIBE~2,Absprachen~A_TARGET_VIBE~2,Respekt~A_TARGET_VIBE~2,Sorgfalt~A_TARGET_VIBE~3,Formular~A_TARGET_VIBE~3"
Anwesenheitsliste,4,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Strich~A_TARGET_VIBE~2,Eintrag~A_TARGET_VIBE~3,Übersicht~A_TARGET_VIBE~3,Nummer~A_TARGET_VIBE~3,Aushang~A_TARGET_VIBE~4,Liste~B_PART_VIBE~3"
Anzug,2,0|9,Alltag & Gegenstände|Gesellschaft & Beruf,"Schneider~A_TARGET_VIBE~2,Sakko~A_TARGET_VIBE~2,Nadel~A_TARGET_VIBE~2,Knopf~A_TARGET_VIBE~2,Garderobe~A_TARGET_VIBE~3,Zug~B_PART_VIBE~2"
Arbeit,1,9,Gesellschaft & Beruf,"Profil~A_TARGET_VIBE~1,Lebenslauf~A_TARGET_VIBE~2,Referenz~A_TARGET_VIBE~2,Aufstieg~A_TARGET_VIBE~2,Praktikum~A_TARGET_VIBE~2,Ordner~A_TARGET_VIBE~2"
Arbeitgeber,3,9,Gesellschaft & Beruf,"Netzwerk~A_TARGET_VIBE~2,Aufstieg~A_TARGET_VIBE~2,Lebenslauf~A_TARGET_VIBE~2,Stellenwechsel~A_TARGET_VIBE~3,Referenz~A_TARGET_VIBE~3,Termin~A_TARGET_VIBE~3"
Arbeitnehmer,3,9,Gesellschaft & Beruf,"Profil~A_TARGET_VIBE~2,Bewerbung~A_TARGET_VIBE~2,Fortbildung~A_TARGET_VIBE~2,Gehaltswunsch~A_TARGET_VIBE~3,Ziel~A_TARGET_VIBE~3,Stempel~A_TARGET_VIBE~3"
Arbeitsamt,3,9,Gesellschaft & Beruf,"Sprechstunde~A_TARGET_VIBE~2,Wartezeit~A_TARGET_VIBE~2,Aktenzeichen~A_TARGET_VIBE~2,Dienstweg~A_TARGET_VIBE~3,Formular~A_TARGET_VIBE~3,Ordner~A_TARGET_VIBE~3"
Arbeitsanweisung,4,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Verstoß~A_TARGET_VIBE~2,Aushang~A_TARGET_VIBE~3,Kontrolle~A_TARGET_VIBE~3,Dienstweg~A_TARGET_VIBE~3,Richtlinie~A_TARGET_VIBE~4,Posteingang~A_TARGET_VIBE~4"
Arbeitsbeginn,3,9,Gesellschaft & Beruf,"Dienstplan~A_TARGET_VIBE~2,Schicht~A_TARGET_VIBE~2,Stempelkarte~A_TARGET_VIBE~2,Stechuhr~A_TARGET_VIBE~3,Feierabend~A_TARGET_VIBE~3,Besprechung~A_TARGET_VIBE~3"
Arbeitsbelastung,4,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Kopfweh~A_TARGET_VIBE~2,Hektik~A_TARGET_VIBE~3,Überlastung~A_TARGET_VIBE~3,Zeitdruck~A_TARGET_VIBE~3,Schlaf~A_TARGET_VIBE~4,Telefonat~A_TARGET_VIBE~4"
Arbeitsende,3,9,Gesellschaft & Beruf,"Arbeitsbeginn~A_TARGET_VIBE~2,Startzeit~A_TARGET_VIBE~2,Kernzeit~A_TARGET_VIBE~2,Stechuhr~A_TARGET_VIBE~3,Zeiterfassung~A_TARGET_VIBE~3,Formular~A_TARGET_VIBE~3"
Arbeitsgericht,4,9,Gesellschaft & Beruf,"Klage~A_TARGET_VIBE~2,Anwalt~A_TARGET_VIBE~3,Gerichtssaal~A_TARGET_VIBE~3,Urteil~A_TARGET_VIBE~3,Fristenlauf~A_TARGET_VIBE~4,Schriftstück~A_TARGET_VIBE~4"
Arbeitskleidung,3,0|9|12,Alltag & Gegenstände|Gesellschaft & Beruf|Gefühle & Abstraktes,"Stoff~A_TARGET_VIBE~2,Krawatte~A_TARGET_VIBE~2,Knopf~A_TARGET_VIBE~2,Bügeleisen~A_TARGET_VIBE~3,Hemdkragen~A_TARGET_VIBE~3,Formular~A_TARGET_VIBE~3"
Arbeitslosigkeit,3,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Lebenslauf~A_TARGET_VIBE~2,Bewerbung~A_TARGET_VIBE~2,Profil~A_TARGET_VIBE~2,Referenz~A_TARGET_VIBE~3,Aufstieg~A_TARGET_VIBE~3,Stempel~A_TARGET_VIBE~3"
Arbeitsmarkt,3,9,Gesellschaft & Beruf,"Erfahrung~A_TARGET_VIBE~2,Berufsberatung~A_TARGET_VIBE~2,Karriereleiter~A_TARGET_VIBE~2,Referenz~A_TARGET_VIBE~3,Aufstieg~A_TARGET_VIBE~3,Telefonat~A_TARGET_VIBE~3"
Arbeitsplatz,2,9|10,Gesellschaft & Beruf|Haushalt & Wohnen,"Ablage~A_TARGET_VIBE~2,Kollege~A_TARGET_VIBE~2,Headset~A_TARGET_VIBE~2,Kaffee~A_TARGET_VIBE~2,Monitor~A_TARGET_VIBE~3,Posteingang~A_TARGET_VIBE~3"
Arbeitsplatzsicherheit,4,9|10|12,Gesellschaft & Beruf|Haushalt & Wohnen|Gefühle & Abstraktes,"Monitor~A_TARGET_VIBE~2,Meetingraum~A_TARGET_VIBE~3,ToDo~A_TARGET_VIBE~3,Lärm~A_TARGET_VIBE~3,Kollege~A_TARGET_VIBE~4,Unterschrift~A_TARGET_VIBE~4"
Arbeitsvermittlung,4,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Karriereleiter~A_TARGET_VIBE~2,Erfahrung~A_TARGET_VIBE~3,Mentor~A_TARGET_VIBE~3,Berufsberatung~A_TARGET_VIBE~3,Bewerbung~A_TARGET_VIBE~4,Sachbearbeiter~A_TARGET_VIBE~4"
Arbeitsvertrag,3,9,Gesellschaft & Beruf,"Tarif~A_TARGET_VIBE~2,Rücktritt~A_TARGET_VIBE~2,Beilage~A_TARGET_VIBE~2,Betriebsrat~A_TARGET_VIBE~3,Anwalt~A_TARGET_VIBE~3,Formular~A_TARGET_VIBE~3"
Arbeitsweg,2,3|9,Orte & Reisen|Gesellschaft & Beruf,"Parkhaus~A_TARGET_VIBE~2,Stau~A_TARGET_VIBE~2,Bahn~A_TARGET_VIBE~2,Straßenbahn~A_TARGET_VIBE~2,Kilometer~A_TARGET_VIBE~3,Taktung~A_TARGET_VIBE~3"
Arbeitszeit,2,9,Gesellschaft & Beruf,"Feierabend~A_TARGET_VIBE~2,Überstunden~A_TARGET_VIBE~2,Pausen~A_TARGET_VIBE~2,Schicht~A_TARGET_VIBE~2,Stempelkarte~A_TARGET_VIBE~3,Scan~A_TARGET_VIBE~3"
Arbeitszeugnis,4,9,Gesellschaft & Beruf,"Unterschrift~A_TARGET_VIBE~2,Stempel~A_TARGET_VIBE~3,Anlage~A_TARGET_VIBE~3,Empfänger~A_TARGET_VIBE~3,Kopie~A_TARGET_VIBE~4,Telefonat~A_TARGET_VIBE~4"
Arbeitszufriedenheit,4,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Erwartung~A_TARGET_VIBE~2,Pünktlichkeit~A_TARGET_VIBE~3,Absprachen~A_TARGET_VIBE~3,Termintreue~A_TARGET_VIBE~3,Planbarkeit~A_TARGET_VIBE~4,Stempel~A_TARGET_VIBE~4"
Archiv,3,0|9,Alltag & Gegenstände|Gesellschaft & Beruf,"Vorgang~A_TARGET_VIBE~2,Registratur~A_TARGET_VIBE~2,Heftung~A_TARGET_VIBE~2,Sortierung~A_TARGET_VIBE~3,Stempel~A_TARGET_VIBE~3,Sachbearbeiter~A_TARGET_VIBE~3"
Arzttermin,2,7|9|12,Wissenschaft & Medizin|Gesellschaft & Beruf|Gefühle & Abstraktes,"Sprechstunde~A_TARGET_VIBE~2,Labor~A_TARGET_VIBE~2,Rezept~A_TARGET_VIBE~2,Praxis~A_TARGET_VIBE~2,Fieber~A_TARGET_VIBE~3,Kopie~A_TARGET_VIBE~3"
Assistent,2,9,Gesellschaft & Beruf,"Durchwahl~A_TARGET_VIBE~2,Zuständigkeit~A_TARGET_VIBE~2,Ansprechpartner~A_TARGET_VIBE~2,Briefing~A_TARGET_VIBE~2,Dienstweg~A_TARGET_VIBE~3,Stempel~A_TARGET_VIBE~3"
Aufgabe,1,9,Gesellschaft & Beruf,"ToDo~A_TARGET_VIBE~1,Zwischenschritt~A_TARGET_VIBE~2,Aufgabenliste~A_TARGET_VIBE~2,Nachverfolgung~A_TARGET_VIBE~2,Priorität~A_TARGET_VIBE~2,Stempel~A_TARGET_VIBE~2"
Aufgabenliste,2,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Delegation~A_TARGET_VIBE~2,Nachverfolgung~A_TARGET_VIBE~2,Meilenstein~A_TARGET_VIBE~2,ToDo~A_TARGET_VIBE~2,Checkliste~A_TARGET_VIBE~3,Liste~B_PART_VIBE~2"
Auftrag,2,9,Gesellschaft & Beruf,"Versand~A_TARGET_VIBE~2,Lieferzeit~A_TARGET_VIBE~2,Freigabe~A_TARGET_VIBE~2,Menge~A_TARGET_VIBE~2,Storno~A_TARGET_VIBE~3,Formular~A_TARGET_VIBE~3"
Aufzug,1,0|3|9,Alltag & Gegenstände|Orte & Reisen|Gesellschaft & Beruf,"Wartung~A_TARGET_VIBE~1,Seil~A_TARGET_VIBE~2,Aufzugwärter~A_TARGET_VIBE~2,Stockwerk~A_TARGET_VIBE~2,Kabine~A_TARGET_VIBE~2,Zug~B_PART_VIBE~2"
Ausbildung,2,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Dozent~A_TARGET_VIBE~2,Teilnahme~A_TARGET_VIBE~2,Seminar~A_TARGET_VIBE~2,Fortschritt~A_TARGET_VIBE~2,Mentor~A_TARGET_VIBE~3,Sachbearbeiter~A_TARGET_VIBE~3"
Ausfertigung,4,0|9|12,Alltag & Gegenstände|Gesellschaft & Beruf|Gefühle & Abstraktes,"Formblatt~A_TARGET_VIBE~2,Unterschrift~A_TARGET_VIBE~3,Druck~A_TARGET_VIBE~3,Entwurf~A_TARGET_VIBE~3,Anlage~A_TARGET_VIBE~4,Termin~A_TARGET_VIBE~4"
Ausgleich,3,9,Gesellschaft & Beruf,"Überstunden~A_TARGET_VIBE~2,Dienstplan~A_TARGET_VIBE~2,Arbeitsbeginn~A_TARGET_VIBE~2,Gleitzeit~A_TARGET_VIBE~3,Stempelkarte~A_TARGET_VIBE~3,Kopie~A_TARGET_VIBE~3"
Aushang,2,9,Gesellschaft & Beruf,"Hinweis~A_TARGET_VIBE~2,Disziplin~A_TARGET_VIBE~2,Protokoll~A_TARGET_VIBE~2,Anweisung~A_TARGET_VIBE~2,Sanktion~A_TARGET_VIBE~3,Termin~A_TARGET_VIBE~3"
Aushilfe,3,9,Gesellschaft & Beruf,"Einarbeitung~A_TARGET_VIBE~2,Schnittstelle~A_TARGET_VIBE~2,Delegation~A_TARGET_VIBE~2,Kollege~A_TARGET_VIBE~3,Ansprechpartner~A_TARGET_VIBE~3,Telefonat~A_TARGET_VIBE~3"
Auskunft,3,9,Gesellschaft & Beruf,"Behörde~A_TARGET_VIBE~2,Nummernschild~A_TARGET_VIBE~2,Formular~A_TARGET_VIBE~2,Dienstweg~A_TARGET_VIBE~3,Sprechstunde~A_TARGET_VIBE~3,Posteingang~A_TARGET_VIBE~3"
Auswahlgespräch,4,9,Gesellschaft & Beruf,"Onboarding~A_TARGET_VIBE~2,Absage~A_TARGET_VIBE~3,Lebenslauf~A_TARGET_VIBE~3,Probezeit~A_TARGET_VIBE~3,Gehaltswunsch~A_TARGET_VIBE~4,Besprechung~A_TARGET_VIBE~4"
Ausweis,2,0|9,Alltag & Gegenstände|Gesellschaft & Beruf,"Klingel~A_TARGET_VIBE~2,Badge~A_TARGET_VIBE~2,Schloss~A_TARGET_VIBE~2,Chipkarte~A_TARGET_VIBE~2,Kontrolle~A_TARGET_VIBE~3,Kollege~A_TARGET_VIBE~3"
Auswertung,3,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Tabelle~A_TARGET_VIBE~2,Anlage~A_TARGET_VIBE~2,Kennzahl~A_TARGET_VIBE~2,Kapitel~A_TARGET_VIBE~3,Trend~A_TARGET_VIBE~3,Ordner~A_TARGET_VIBE~3"
Auszubildender,4,9,Gesellschaft & Beruf,"Fortschritt~A_TARGET_VIBE~2,Seminar~A_TARGET_VIBE~3,Berufsschule~A_TARGET_VIBE~3,Dozent~A_TARGET_VIBE~3,Lehrgang~A_TARGET_VIBE~4,Stempel~A_TARGET_VIBE~4"
Bahn,1,3|9,Orte & Reisen|Gesellschaft & Beruf,"S-Bahn~A_TARGET_VIBE~1,Umleitung~A_TARGET_VIBE~2,Verspätung~A_TARGET_VIBE~2,Pendeln~A_TARGET_VIBE~2,Regen~A_TARGET_VIBE~2,Kilometer~A_TARGET_VIBE~2"
Baustelle,2,9,Gesellschaft & Beruf,"Säge~A_TARGET_VIBE~2,Maßband~A_TARGET_VIBE~2,Schraube~A_TARGET_VIBE~2,Schutzbrille~A_TARGET_VIBE~2,Hammer~A_TARGET_VIBE~3,Posteingang~A_TARGET_VIBE~3"
Baustellenleiter,4,9,Gesellschaft & Beruf,"Plan~A_TARGET_VIBE~2,Material~A_TARGET_VIBE~3,Werkzeug~A_TARGET_VIBE~3,Zunft~A_TARGET_VIBE~3,Auftrag~A_TARGET_VIBE~4,Telefonat~A_TARGET_VIBE~4"
Befragung,4,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Nachtrag~A_TARGET_VIBE~2,Freigabe~A_TARGET_VIBE~3,Bearbeitung~A_TARGET_VIBE~3,Büro~A_TARGET_VIBE~3,Unterschrift~A_TARGET_VIBE~4,Durchwahl~A_TARGET_VIBE~4"
Befristung,3,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Reminder~A_TARGET_VIBE~2,Poststempel~A_TARGET_VIBE~2,Sekretariat~A_TARGET_VIBE~2,Upload~A_TARGET_VIBE~3,Puffer~A_TARGET_VIBE~3,Kopie~A_TARGET_VIBE~3"
Beförderung,3,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Nachweis~A_TARGET_VIBE~2,Freigabe~A_TARGET_VIBE~2,Vermerk~A_TARGET_VIBE~2,Unterschrift~A_TARGET_VIBE~3,E-Mail~A_TARGET_VIBE~3,Termin~A_TARGET_VIBE~3"
Begrüßung,2,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Freigabe~A_TARGET_VIBE~2,Rückmeldung~A_TARGET_VIBE~2,Nachtrag~A_TARGET_VIBE~2,Scan~A_TARGET_VIBE~2,Besprechung~A_TARGET_VIBE~3,Büro~A_TARGET_VIBE~3"
Behörde,3,9,Gesellschaft & Beruf,"Termin~A_TARGET_VIBE~2,Besprechung~A_TARGET_VIBE~2,E-Mail~A_TARGET_VIBE~2,Rückfrage~A_TARGET_VIBE~3,Stempel~A_TARGET_VIBE~3,Kopie~A_TARGET_VIBE~3"
Beitrag,3,9,Gesellschaft & Beruf,"Rückfrage~A_TARGET_VIBE~2,Sachbearbeiter~A_TARGET_VIBE~2,Büro~A_TARGET_VIBE~2,E-Mail~A_TARGET_VIBE~3,Stempel~A_TARGET_VIBE~3,Scan~A_TARGET_VIBE~3"
Bekanntgabe,3,9,Gesellschaft & Beruf,"Ruf~A_TARGET_VIBE~2,Einladung~A_TARGET_VIBE~2,Geste~A_TARGET_VIBE~2,Kontakt~A_TARGET_VIBE~3,Höflichkeit~A_TARGET_VIBE~3,Sachbearbeiter~A_TARGET_VIBE~3"
Bekanntschaft,3,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Plausch~A_TARGET_VIBE~2,Teamgeist~A_TARGET_VIBE~2,Geste~A_TARGET_VIBE~2,Klatsch~A_TARGET_VIBE~3,Kontakt~A_TARGET_VIBE~3,Posteingang~A_TARGET_VIBE~3"
Belegschaft,3,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Smalltalk~A_TARGET_VIBE~2,Plausch~A_TARGET_VIBE~2,Respekt~A_TARGET_VIBE~2,Lächeln~A_TARGET_VIBE~3,Klatsch~A_TARGET_VIBE~3,Kopie~A_TARGET_VIBE~3"
Benimm,3,9,Gesellschaft & Beruf,"Teamgeist~A_TARGET_VIBE~2,Gerücht~A_TARGET_VIBE~2,Höflichkeit~A_TARGET_VIBE~2,Lächeln~A_TARGET_VIBE~3,Ruf~A_TARGET_VIBE~3,Kollege~A_TARGET_VIBE~3"
Benutzerkonto,4,9,Gesellschaft & Beruf,"Freigabe~A_TARGET_VIBE~2,Abfrage~A_TARGET_VIBE~3,PIN~A_TARGET_VIBE~3,Stunden~A_TARGET_VIBE~3,Auszug~A_TARGET_VIBE~4,Konto~B_PART_VIBE~3"
Beratung,2,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Umsetzung~A_TARGET_VIBE~2,Nachweis~A_TARGET_VIBE~2,Nachtrag~A_TARGET_VIBE~2,Besprechung~A_TARGET_VIBE~2,E-Mail~A_TARGET_VIBE~3,Durchwahl~A_TARGET_VIBE~3"
Berechtigung,4,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Mitteilung~A_TARGET_VIBE~2,Ausgang~A_TARGET_VIBE~3,Rückmeldung~A_TARGET_VIBE~3,Unterschrift~A_TARGET_VIBE~3,Ordner~A_TARGET_VIBE~4,Sachbearbeiter~A_TARGET_VIBE~4"
Bereitschaft,4,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Termintreue~A_TARGET_VIBE~2,Respekt~A_TARGET_VIBE~3,Konstanz~A_TARGET_VIBE~3,Motivation~A_TARGET_VIBE~3,Eigeninitiative~A_TARGET_VIBE~4,Büro~A_TARGET_VIBE~4"
Bericht,2,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Tabelle~A_TARGET_VIBE~2,Leitung~A_TARGET_VIBE~2,Kapitel~A_TARGET_VIBE~2,Anlage~A_TARGET_VIBE~2,Zusammenfassung~A_TARGET_VIBE~3,Büro~A_TARGET_VIBE~3"
Berichtswesen,5,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Kennzahlentafel~A_TARGET_VIBE~3,Trend~A_TARGET_VIBE~3,Anlage~A_TARGET_VIBE~3,Kommentar~A_TARGET_VIBE~4,Kapitel~A_TARGET_VIBE~4,Termin~A_TARGET_VIBE~4,Besprechung~A_TARGET_VIBE~3"
Beruf,1,9,Gesellschaft & Beruf,"Aufstieg~A_TARGET_VIBE~1,Ziel~A_TARGET_VIBE~2,Profil~A_TARGET_VIBE~2,Gehaltswunsch~A_TARGET_VIBE~2,Bewerbung~A_TARGET_VIBE~2,Posteingang~A_TARGET_VIBE~2"
Berufsberatung,4,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Mentor~A_TARGET_VIBE~2,Stellenwechsel~A_TARGET_VIBE~3,Ziel~A_TARGET_VIBE~3,Aufstieg~A_TARGET_VIBE~3,Fortbildung~A_TARGET_VIBE~4,Stempel~A_TARGET_VIBE~4"
Berufserfahrung,3,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Karriereleiter~A_TARGET_VIBE~2,Berufsberatung~A_TARGET_VIBE~2,Kompetenz~A_TARGET_VIBE~2,Bewerbung~A_TARGET_VIBE~3,Mentor~A_TARGET_VIBE~3,Posteingang~A_TARGET_VIBE~3"
Bescheid,4,0|9,Alltag & Gegenstände|Gesellschaft & Beruf,"Druck~A_TARGET_VIBE~2,Entwurf~A_TARGET_VIBE~3,Datum~A_TARGET_VIBE~3,Siegel~A_TARGET_VIBE~3,Version~A_TARGET_VIBE~4,Durchwahl~A_TARGET_VIBE~4"
Bescheinigung,4,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Archiv~A_TARGET_VIBE~2,Seriennummer~A_TARGET_VIBE~3,Unterschrift~A_TARGET_VIBE~3,Ausstellung~A_TARGET_VIBE~3,Register~A_TARGET_VIBE~4,Rückfrage~A_TARGET_VIBE~4"
Beschilderung,4,0|9|10,Alltag & Gegenstände|Gesellschaft & Beruf|Haushalt & Wohnen,"Notausgang~A_TARGET_VIBE~2,Gebäude~A_TARGET_VIBE~3,Brandschutz~A_TARGET_VIBE~3,Eingang~A_TARGET_VIBE~3,Schlüssel~A_TARGET_VIBE~4,Kopie~A_TARGET_VIBE~4"
Beschwerde,3,9,Gesellschaft & Beruf,"Servicefall~A_TARGET_VIBE~2,Hotline~A_TARGET_VIBE~2,Kulanz~A_TARGET_VIBE~2,Antwort~A_TARGET_VIBE~3,Bearbeitung~A_TARGET_VIBE~3,Stempel~A_TARGET_VIBE~3"
Besprechung,2,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Redeliste~A_TARGET_VIBE~2,Diskussion~A_TARGET_VIBE~2,Kaffee~A_TARGET_VIBE~2,Tagesordnung~A_TARGET_VIBE~2,Workshop~A_TARGET_VIBE~3,Unterschrift~A_TARGET_VIBE~3"
Besprechungsraum,3,3|9,Orte & Reisen|Gesellschaft & Beruf,"Diskussion~A_TARGET_VIBE~2,Pünktlichkeit~A_TARGET_VIBE~2,Workshop~A_TARGET_VIBE~2,Redeliste~A_TARGET_VIBE~3,Protokoll~A_TARGET_VIBE~3,Büro~A_TARGET_VIBE~3"
Bestellung,3,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Rabatt~A_TARGET_VIBE~2,Position~A_TARGET_VIBE~2,Bestätigung~A_TARGET_VIBE~2,Menge~A_TARGET_VIBE~3,Nachbestellung~A_TARGET_VIBE~3,Ordner~A_TARGET_VIBE~3"
Besucher,2,9,Gesellschaft & Beruf,"Vertretung~A_TARGET_VIBE~2,Ansprechpartner~A_TARGET_VIBE~2,Ziel~A_TARGET_VIBE~2,Kopie~A_TARGET_VIBE~2,Rückfrage~A_TARGET_VIBE~3,Unterschrift~A_TARGET_VIBE~3"
